prediction_time,predicted_temperature
2026-06-28 00:00:00+00:00,23.472572
2026-06-28 01:00:00+00:00,23.148935
2026-06-28 02:00:00+00:00,23.062521
2026-06-28 03:00:00+00:00,22.767042
2026-06-28 04:00:00+00:00,22.950066
2026-06-28 05:00:00+00:00,24.183413
2026-06-28 06:00:00+00:00,25.955853
2026-06-28 07:00:00+00:00,28.141996
2026-06-28 08:00:00+00:00,29.984245
2026-06-28 09:00:00+00:00,31.589735
2026-06-28 10:00:00+00:00,33.485855
2026-06-28 11:00:00+00:00,34.836437
2026-06-28 12:00:00+00:00,35.88089
2026-06-28 13:00:00+00:00,36.383194
2026-06-28 14:00:00+00:00,36.475437
2026-06-28 15:00:00+00:00,36.258106
2026-06-28 16:00:00+00:00,35.68238
2026-06-28 17:00:00+00:00,33.897953
2026-06-28 18:00:00+00:00,31.61939
2026-06-28 19:00:00+00:00,30.130308
2026-06-28 20:00:00+00:00,28.494884
2026-06-28 21:00:00+00:00,27.107841
2026-06-28 22:00:00+00:00,26.235935
2026-06-28 23:00:00+00:00,25.399555
